学科,书本,标题,题干,是否有图片,图片路径,掌握程度,标签,答案,历次反馈,预留空间,首次做题时间
数学,1000题,1000题-基础-0-10,"函数$f(x)=ax^{3}+bx^{2}-2x(a,b\in\mathbf{R},ab\neq0)$的图像如图所示，且$x_1 + x_2 < 0$，则有（  ）.
(A) $a>0$，$b>0$
(B) $a<0$，$b<0$
(C) $a<0$，$b>0$
(D) $a>0$，$b<0$",y,1000题-基础-0-10,***,其他方法,"\begin{align*}
f(x)&=x(ax^{2}+bx - 2)=ax(x - x_1)(x - x_2)\\
\end{align*}
由韦达定理，$x_1x_2=-\frac{2}{a}<0$，故$a>0$.
又$x_1 + x_2 =-\frac{b}{a}<0$，所以$b>0$. 故选(A).",,8cm,2026-05-25
数学,1000题,1000题-基础-0-14,"已知等差数列$\{a_n\}$满足$(a_1 + a_2) + (a_2 + a_3) + \cdots + (a_n + a_{n + 1}) = 2n(n + 1)(n \in \mathbf{N}_+)$，求：
(1)数列$\{a_n\}$的通项公式；
(2)数列$\left\{\frac{a_n}{2^{n - 1}}\right\}$的前$n$项和$S_n$.",n,1000题-基础-0-14,*,错题、粗心,"(1)设等差数列$\{a_n\}$的公差为$d$，由已知得
\[
\begin{cases}
a_1 + a_2 = 4 \\
(a_1 + a_2) + (a_2 + a_3) = 12
\end{cases}
\]
即
\[
\begin{cases}
a_1 + a_2 = 4 \\
a_2 + a_3 = 8
\end{cases}
\]
所以
\[
\begin{cases}
a_1 + (a_1 + d) = 4 \\
(a_1 + d) + (a_1 + 2d) = 8
\end{cases}
\]
解得
\[
\begin{cases}
a_1 = 1 \\
d = 2
\end{cases}
\]
所以$a_n = 2n - 1$.
(2)由(1)得$\frac{a_n}{2^{n - 1}} = \frac{2n - 1}{2^{n - 1}}$，所以
\[
S_n = 1 + \frac{3}{2^1} + \frac{5}{2^2} + \cdots + \frac{2n - 3}{2^{n - 2}} + \frac{2n - 1}{2^{n - 1}} \quad \textcircled{1}
\]
\[
\frac{1}{2}S_n = \frac{1}{2} + \frac{3}{2^2} + \frac{5}{2^3} + \cdots + \frac{2n - 3}{2^{n - 1}} + \frac{2n - 1}{2^n} \quad \textcircled{2}
\]
\textcircled{1}-\textcircled{2}，得
\[
\frac{1}{2}S_n = 1 + 1 + \frac{1}{2} + \frac{1}{2^2} + \frac{1}{2^3} + \cdots + \frac{1}{2^{n - 2}} - \frac{2n - 1}{2^n} = 3 - \frac{2n + 3}{2^n}
\]
所以$S_n = 6 - \frac{2n + 3}{2^{n - 1}}$.",,20cm,2026-05-25
数学,1000题,1000题-基础-0-16,"已知曲线$C$的极坐标方程是$r = 1$，以极点为原点，极轴为$x$轴的正半轴建立平面直角坐标系，直线$l$的参数方程为$\begin{cases}x = 1 + \dfrac{t}{2}\\y = 2 + \dfrac{\sqrt{3}}{2}t\end{cases}$（$t$为参数）.
(1)写出直线$l$与曲线$C$的直角坐标方程；
(2)设曲线$C$经过伸缩变换$\begin{cases}x' = 3x\\y' = y\end{cases}$得到曲线$C'$，设曲线$C'$上任一点为$M(x,y)$，求$\dfrac{x}{3} + \sqrt{3}y$的最小值.",n,1000题-基础-0-16,***,其他方法,"(1)
\[
l:\sqrt{3}x - y + 2 - \sqrt{3} = 0,
\]
\[
C:x^{2} + y^{2} = 1.
\]
(2)因为$\begin{cases}x' = 3x\\y' = y\end{cases}$，所以$\begin{cases}x = \dfrac{x'}{3}\\y = y'\end{cases}$，代入$C$得$C':\dfrac{(x')^{2}}{9} + (y')^{2} = 1$，故曲线$C'$的直角坐标方程为$\dfrac{x^{2}}{9} + y^{2} = 1$.
椭圆$C'$的参数方程为$\begin{cases}x = 3\cos\theta\\y = \sin\theta\end{cases}$（$\theta$为参数），则
\[
\dfrac{x}{3} + \sqrt{3}y = \cos\theta + \sqrt{3}\sin\theta = 2\sin\left(\theta + \dfrac{\pi}{6}\right),
\]
所以$\dfrac{x}{3} + \sqrt{3}y$的最小值为$-2$.",,20cm,2026-05-25
数学,1000题,1000题-基础-0-2,证明：对任意正整数$n$，均有$2^n + 2 > n^2$。,n,1000题-基础-0-2,***,想得久,"当$n = 1,2,3$时，$2^1 + 2 > 1^2$，$2^2 + 2 > 2^2$，$2^3 + 2 > 3^2$显然成立。
假设当$n = k(k\geq 3)$时结论成立，则当$n = k + 1$时，
\[
2^{k + 1} + 2 = 2(2^k + 2) - 2 > 2k^2 - 2 = (k + 1)^2 + (k + 1)(k - 3) \geq (k + 1)^2
\]
结论也成立。从而命题得证。",,15cm,2026-05-25
数学,1000题,1000题-基础-0-3,"设实数$a\in(0,1)$. 数列$\{x_n\}$满足$x_0 = 1$，且对任意正整数$n$，均有$x_n = \frac{1}{x_{n - 1}} + a$. 证明：对任意正整数$n$，有$x_n > 1$.",n,1000题-基础-0-3,*,错题,"当$n = 1,2$时，
\[
x_1 = 1 + a > 1, x_2 = \frac{1}{1 + a} + a = \frac{1 + a + a^2}{1 + a} > 1
\]
结论成立.
假设当$n\leq k(k\geq 2)$时结论成立，则当$n = k + 1$时，根据归纳假设和递推关系得
\[
x_{k - 1} > 1, 1 < x_k = \frac{1}{x_{k - 1}} + a < 1 + a
\]
\[
x_{k + 1} = \frac{1}{x_k} + a > \frac{1}{1 + a} + a = \frac{1 + a + a^2}{1 + a} > 1
\]
所以当$n = k + 1$时，结论也成立. 因此对任意正整数$n$，均有$x_n > 1$.",,20cm,2026-05-25
数学,1000题,1000题-基础-0-6,设函数$f(x)=\frac{x^{2}}{1 + x^{2}}$，则$f(1)+f(2)+f(3)+f(4)+f(\frac{1}{2})+f(\frac{1}{3})+f(\frac{1}{4})=\underline{\quad\quad\quad}$.,n,1000题-基础-0-6,*,错题、粗心,"因为
\begin{align*}
f(x)+f(\frac{1}{x})&=\frac{x^{2}}{1 + x^{2}}+\frac{(\frac{1}{x})^{2}}{1 + (\frac{1}{x})^{2}}\\
&=\frac{x^{2}}{1 + x^{2}}+\frac{\frac{1}{x^{2}}}{1 + \frac{1}{x^{2}}}\\
&=\frac{x^{2}}{1 + x^{2}}+\frac{1}{x^{2} + 1}\\
&=1
\end{align*}
所以
\begin{align*}
f(1)+f(1)&=1,\\
f(2)+f(\frac{1}{2})&=1,\\
f(3)+f(\frac{1}{3})&=1,\\
f(4)+f(\frac{1}{4})&=1
\end{align*}
故
\[
f(1)+f(2)+f(3)+f(4)+f(\frac{1}{2})+f(\frac{1}{3})+f(\frac{1}{4})=\frac{7}{2}
\]",,5cm,2026-05-25
数学,1000题,1000题-基础-0-7,"设$f(x)$在$[0,1]$上有定义，$f(0)=f(1)$，且对任意$x_1,x_2\in[0,1]$，均有$|f(x_1)-f(x_2)|\leq|x_1 - x_2|$。证明：当$a,b\in[0,1]$时，$|f(a)-f(b)|\leq\frac{1}{2}$。",n,1000题-基础-0-7,***,想得久、其他方法,"当$|a - b|\leq\frac{1}{2}$时，有$|f(a)-f(b)|\leq|a - b|\leq\frac{1}{2}$。
当$|a - b|>\frac{1}{2}$时，不妨设$0\leq a < b\leq 1$，则$b - a > \frac{1}{2}$。于是有
\begin{align*}
|f(a)-f(b)|&=|f(a)-f(0)+f(1)-f(b)|\\
&\leq|f(a)-f(0)|+|f(1)-f(b)|\\
&\leq|a - 0|+|1 - b|\\
&=1-(b - a)\\
&<\frac{1}{2}
\end{align*}
证毕。",,15cm,2026-05-25
数学,1000题,1000题-基础-0-8,设$x>0$，求函数$y = x + \frac{4}{x^2}$的最小值。,n,1000题-基础-0-8,***,其他方法,"\[
y = x + \frac{4}{x^2} = \frac{1}{2}x + \frac{1}{2}x + \frac{4}{x^2} \geq 3\sqrt[3]{\frac{1}{2}x \cdot \frac{1}{2}x \cdot \frac{4}{x^2}} = 3
\]
，当且仅当$\frac{1}{2}x = \frac{4}{x^2}$，即$x = 2$时，等号成立，故$y_{\min} = 3$。",,7cm,2026-05-25
数学,1000题,1000题-基础-0-9,"设实数$x,y$满足$3x^{2}+2y^{2}=6$，求$2x + y$的最大值.",n,1000题-基础-0-9,***,其他方法,"\begin{align*}
(2x + y)^{2} &= \left(\frac{2}{\sqrt{3}} \cdot \sqrt{3}x + \frac{1}{\sqrt{2}} \cdot \sqrt{2}y\right)^{2}\\
&\leq \left[\left(\frac{2}{\sqrt{3}}\right)^{2} + \left(\frac{1}{\sqrt{2}}\right)^{2}\right] \cdot \left[(\sqrt{3}x)^{2} + (\sqrt{2}y)^{2}\right] = 11
\end{align*}
当且仅当$\frac{\frac{2}{\sqrt{3}}}{\sqrt{3}x} = \frac{\frac{1}{\sqrt{2}}}{\sqrt{2}y}$，即$x = \frac{4}{\sqrt{11}}$，$y = \frac{3}{\sqrt{11}}$或$x = -\frac{4}{\sqrt{11}}$，$y = -\frac{3}{\sqrt{11}}$时等号成立. 故$2x + y$的最大值为$\sqrt{11}$.",,20cm,2026-05-25
数学,1000题,1000题-基础-1-12,$\lim_{x \to 0} \left(\frac{\arctan x}{x}\right)^{\frac{1}{\tan^{2}x}} = \underline{\quad\quad\quad}$.,n,1000题-基础-1-12,***,其他方法,"\begin{align*}
\lim_{x \to 0} \left(\frac{\arctan x}{x}\right)^{\frac{1}{\tan^{2}x}} &= e^{\lim_{x \to 0} \frac{\ln \frac{\arctan x}{x}}{\tan^{2}x}} = e^{\lim_{x \to 0} \left(\frac{\frac{\arctan x}{x}-1}{\tan^{2}x}\right)} = e^{\lim_{x \to 0} \frac{\arctan x - x}{x^{3}}} = e^{-\frac{1}{3}}
\end{align*}",,9cm,2026-05-25
